model,dataset,recipe,metric,mean,std,n,missing_seeds
BPR,baby,causal,HR@20,0.035545,0.003484,3,
BPR,baby,causal,NDCG@20,0.009804,0.001091,3,
BPR,baby,causal,Recall@20,0.021153,0.001841,3,
BPR,baby,uniform,HR@20,0.024512,0.001635,3,
BPR,baby,uniform,NDCG@20,0.006084,0.000478,3,
BPR,baby,uniform,Recall@20,0.013563,0.001020,3,
BPR,cellphone,causal,HR@20,0.023442,0.000619,3,
BPR,cellphone,causal,NDCG@20,0.006566,0.000307,3,
BPR,cellphone,causal,Recall@20,0.016949,0.000561,3,
BPR,cellphone,uniform,HR@20,0.012658,0.000346,3,
BPR,cellphone,uniform,NDCG@20,0.004154,0.000145,3,
BPR,cellphone,uniform,Recall@20,0.008971,0.000232,3,
BPR,musical,causal,HR@20,0.060196,0.001483,3,
BPR,musical,causal,NDCG@20,0.015544,0.000559,3,
BPR,musical,causal,Recall@20,0.032729,0.000769,3,
BPR,musical,uniform,HR@20,0.050659,0.001905,3,
BPR,musical,uniform,NDCG@20,0.012887,0.000419,3,
BPR,musical,uniform,Recall@20,0.026333,0.001313,3,
BPR-m2-tunedper-arm,baby,causal,HR@20,0.036343,0.003339,3,
BPR-m2-tunedper-arm,baby,causal,NDCG@20,0.010714,0.000544,3,
BPR-m2-tunedper-arm,baby,causal,Recall@20,0.021883,0.001907,3,
BPR-m2-tunedper-arm,baby,causal+coherent,HR@20,0.035997,0.003230,3,
BPR-m2-tunedper-arm,baby,causal+coherent,NDCG@20,0.010251,0.000883,3,
BPR-m2-tunedper-arm,baby,causal+coherent,Recall@20,0.022070,0.002322,3,
BPR-m2-tunedper-arm,baby,causal+temporal,HR@20,0.042697,0.001518,3,
BPR-m2-tunedper-arm,baby,causal+temporal,NDCG@20,0.011777,0.000604,3,
BPR-m2-tunedper-arm,baby,causal+temporal,Recall@20,0.025826,0.000664,3,
BPR-m2-tunedper-arm,baby,uniform,HR@20,0.025443,0.000365,3,
BPR-m2-tunedper-arm,baby,uniform,NDCG@20,0.006314,0.000466,3,
BPR-m2-tunedper-arm,baby,uniform,Recall@20,0.014384,0.000552,3,
BPR-m2-tunedper-arm,musical,causal,HR@20,0.062712,0.002081,3,
BPR-m2-tunedper-arm,musical,causal,NDCG@20,0.016412,0.000400,3,
BPR-m2-tunedper-arm,musical,causal,Recall@20,0.034524,0.000753,3,
BPR-m2-tunedper-arm,musical,causal+coherent,HR@20,0.061629,0.002438,3,
BPR-m2-tunedper-arm,musical,causal+coherent,NDCG@20,0.016241,0.000253,3,
BPR-m2-tunedper-arm,musical,causal+coherent,Recall@20,0.034149,0.001389,3,
BPR-m2-tunedper-arm,musical,causal+temporal,HR@20,0.063096,0.002008,3,
BPR-m2-tunedper-arm,musical,causal+temporal,NDCG@20,0.016593,0.000204,3,
BPR-m2-tunedper-arm,musical,causal+temporal,Recall@20,0.034500,0.000842,3,
BPR-m2-tunedper-arm,musical,uniform,HR@20,0.051602,0.003395,3,
BPR-m2-tunedper-arm,musical,uniform,NDCG@20,0.013111,0.000769,3,
BPR-m2-tunedper-arm,musical,uniform,Recall@20,0.027282,0.002862,3,
BPR-m2-tunedper-arm,philadelphia,causal,HR@20,0.185009,0.004821,3,
BPR-m2-tunedper-arm,philadelphia,causal,NDCG@20,0.060099,0.001453,3,
BPR-m2-tunedper-arm,philadelphia,causal,Recall@20,0.076617,0.002485,3,
BPR-m2-tunedper-arm,philadelphia,causal+coherent,HR@20,0.183898,0.002296,3,
BPR-m2-tunedper-arm,philadelphia,causal+coherent,NDCG@20,0.059367,0.000353,3,
BPR-m2-tunedper-arm,philadelphia,causal+coherent,Recall@20,0.076566,0.000555,3,
BPR-m2-tunedper-arm,philadelphia,causal+temporal,HR@20,0.184838,0.005221,3,
BPR-m2-tunedper-arm,philadelphia,causal+temporal,NDCG@20,0.057284,0.003745,3,
BPR-m2-tunedper-arm,philadelphia,causal+temporal,Recall@20,0.076743,0.002141,3,
BPR-m2-tunedper-arm,philadelphia,uniform,HR@20,0.188558,0.008902,3,
BPR-m2-tunedper-arm,philadelphia,uniform,NDCG@20,0.066150,0.002117,3,
BPR-m2-tunedper-arm,philadelphia,uniform,Recall@20,0.078826,0.004408,3,
LightGCN,baby,causal,HR@20,0.021588,0.001200,3,
LightGCN,baby,causal,NDCG@20,0.005486,0.000141,3,
LightGCN,baby,causal,Recall@20,0.012692,0.001020,3,
LightGCN,baby,uniform,HR@20,0.020684,0.000401,3,
LightGCN,baby,uniform,NDCG@20,0.005456,0.000145,3,
LightGCN,baby,uniform,Recall@20,0.012141,0.000526,3,
LightGCN,cellphone,causal,HR@20,0.016206,0.000574,3,
LightGCN,cellphone,causal,NDCG@20,0.004956,0.000206,3,
LightGCN,cellphone,causal,Recall@20,0.011569,0.000339,3,
LightGCN,cellphone,uniform,HR@20,0.013407,0.000400,3,
LightGCN,cellphone,uniform,NDCG@20,0.004338,0.000123,3,
LightGCN,cellphone,uniform,Recall@20,0.009617,0.000303,3,
LightGCN,musical,causal,HR@20,0.058834,0.002782,3,
LightGCN,musical,causal,NDCG@20,0.015870,0.000356,3,
LightGCN,musical,causal,Recall@20,0.033166,0.001327,3,
LightGCN,musical,uniform,HR@20,0.055864,0.003061,3,
LightGCN,musical,uniform,NDCG@20,0.015167,0.000757,3,
LightGCN,musical,uniform,Recall@20,0.031097,0.001886,3,
NeuMF,baby,causal,HR@20,0.009544,0.002076,3,
NeuMF,baby,causal,NDCG@20,0.002092,0.000512,3,
NeuMF,baby,causal,Recall@20,0.005253,0.001169,3,
NeuMF,baby,uniform,HR@20,0.011432,0.000838,3,
NeuMF,baby,uniform,NDCG@20,0.002346,0.000212,3,
NeuMF,baby,uniform,Recall@20,0.006198,0.000883,3,
NeuMF,cellphone,causal,HR@20,0.005797,0.000877,3,
NeuMF,cellphone,causal,NDCG@20,0.001482,0.000222,3,
NeuMF,cellphone,causal,Recall@20,0.003985,0.000564,3,
NeuMF,cellphone,uniform,HR@20,0.004431,0.000282,3,
NeuMF,cellphone,uniform,NDCG@20,0.001067,0.000054,3,
NeuMF,cellphone,uniform,Recall@20,0.002901,0.000221,3,
NeuMF,musical,causal,HR@20,0.019425,0.001984,3,
NeuMF,musical,causal,NDCG@20,0.004083,0.000685,3,
NeuMF,musical,causal,Recall@20,0.010066,0.001772,3,
NeuMF,musical,uniform,HR@20,0.020683,0.000773,3,
NeuMF,musical,uniform,NDCG@20,0.004399,0.000118,3,
NeuMF,musical,uniform,Recall@20,0.010419,0.000556,3,
NeuMF-m2,musical,causal,HR@20,0.049366,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal,NDCG@20,0.013122,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal,Recall@20,0.025967,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal+temporal,HR@20,0.059008,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal+temporal,NDCG@20,0.015011,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal+temporal,Recall@20,0.030096,0.000000,1,seed123 seed2026
NeuMF-m2,musical,uniform,HR@20,0.046431,0.000000,1,seed123 seed2026
NeuMF-m2,musical,uniform,NDCG@20,0.012237,0.000000,1,seed123 seed2026
NeuMF-m2,musical,uniform,Recall@20,0.023146,0.000000,1,seed123 seed2026
BPR,baby,causal,rho,0.000000,0.000000,3,
BPR,baby,uniform,rho,0.384312,0.000032,3,
BPR,cellphone,causal,rho,0.000000,0.000000,3,
BPR,cellphone,uniform,rho,0.440592,0.000004,3,
BPR,musical,causal,rho,0.000000,0.000000,3,
BPR,musical,uniform,rho,0.331965,0.000090,3,
BPR-m2-tunedper-arm,baby,causal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,baby,causal+coherent,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,baby,causal+temporal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,baby,uniform,rho,0.384388,0.000039,3,
BPR-m2-tunedper-arm,musical,causal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,musical,causal+coherent,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,musical,causal+temporal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,musical,uniform,rho,0.331992,0.000077,3,
BPR-m2-tunedper-arm,philadelphia,causal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,philadelphia,causal+coherent,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,philadelphia,causal+temporal,rho,0.000000,0.000000,3,
BPR-m2-tunedper-arm,philadelphia,uniform,rho,0.287330,0.000031,3,
LightGCN,baby,causal,rho,0.000000,0.000000,3,
LightGCN,baby,uniform,rho,0.384321,0.000023,3,
LightGCN,cellphone,causal,rho,0.000000,0.000000,3,
LightGCN,cellphone,uniform,rho,0.440571,0.000021,3,
LightGCN,musical,causal,rho,0.000000,0.000000,3,
LightGCN,musical,uniform,rho,0.331829,0.000086,3,
NeuMF,baby,causal,rho,0.000000,0.000000,3,
NeuMF,baby,uniform,rho,0.384310,0.000048,3,
NeuMF,cellphone,causal,rho,0.000000,0.000000,3,
NeuMF,cellphone,uniform,rho,0.440580,0.000026,3,
NeuMF,musical,causal,rho,0.000000,0.000000,3,
NeuMF,musical,uniform,rho,0.331866,0.000093,3,
NeuMF-m2,musical,causal,rho,0.000000,0.000000,1,seed123 seed2026
NeuMF-m2,musical,causal+temporal,rho,0.000000,0.000000,1,seed123 seed2026
NeuMF-m2,musical,uniform,rho,0.331778,0.000000,1,seed123 seed2026
