raw_user_id,seed,past-only NDCG@20,+coherent NDCG@20,diff
-0TIxezdO7xXrkP7zXFd8Q,42,1,0.63092975,-0.36907025
-3h48rG-sopyGDLu5bh4xQ,42,0,0,0
-4gIZlTNT0CA1VGl4BsHJA,42,0,0,0
-4qa2JVDEC_QPVWcZ1nHkQ,42,0,0,0
-5X3pQ0XrdZqNU1LHQPnpg,42,0,0,0
-6VU46iNtnR8-rat3ONY1g,42,0,0,0
-7-C4zqNHbeDGL_62XKToA,42,0,0,0
-7Jz5rawtZ4EGf8QhDcAlg,42,0.38685281,0.3065736,-0.080279211
-7NO4luUI6dzpQ3ORf3NVw,42,0,0,0
-7_OQiwD8HojEj2qeRSIWw,42,0,0,0
-7jn_O7MFqhN7XCz4CoOIw,42,0,0,0
-8DhMYnu5gXInZEpuO4VlQ,42,0,0,0
-8Vf9roRMLb-_vxmM347Pg,42,0,0,0
-9OIms4jE1bdD1fz7AzAFA,42,0.10168472,0.074887415,-0.026797305
-AS4NLOxH22-hCLpXZzUAA,42,0,0,0
-AWA9IUFWgFHLO549geEbA,42,0,0,0
-A_vNNnNsjHiNHJYAweWoQ,42,0,0,0
-Av5_Ee5eXO1kz9etK_DIA,42,0,0,0
-AwZjQNFpCqc0bVNNyBqwg,42,0.092612208,0.092612208,0
-Bc2fC2U5X-VOgd-L4n2DQ,42,0,0,0
-Bhu4EgFfhItSqyEhRE3Wg,42,0,0.1175161,0.1175161
-Btcpcgv-2x9E-_hi34uYA,42,0,0,0
-DqEhMknM-vqqnKvodiwig,42,0,0,0
-EGwTiRaB0v4UZPhfFAxng,42,0,0,0
-ELJuOz6r-it0mIi1SmMOQ,42,0,0,0
-EzMyfoBHhWfu_Q7MYUM-Q,42,0,0,0
-FJePf48fLwDbvdtYgualw,42,0,0,0
-G7Zkl1wIWBBmD0KRy_sCw,42,0.089617287,0.18938672,0.099769432
-HQIg9KJ2sn6rBNwuqZPRw,42,0,0,0
-Her419l4DCjSFey7UjmtA,42,0.44187221,0.44187221,0
-J1J7E5pRAC8vqUGeZOjlA,42,0.38685281,0.61314719,0.22629439
-J2K2z10mYeMxzhl4Ag_1g,42,0,0,0
-JDG1VycyUKdX_bs7KvnYA,42,0,0,0
-KRmD4ofr1qOvhMk7jLZ0g,42,1,1,0
-LaL8s1Xg0jg2_lhrYlSUA,42,0,0,0
-MeResg7zWIywg7JwuMvaw,42,0,0,0
-NXMmOULp-kUv_LO1V6JVQ,42,0.049089484,0.054772661,0.0056831771
-Od0vvWj3RISQ0pNBGqXnQ,42,0.37956799,0.21398519,-0.16558279
-Odn_q5uNPt52g8nBWl6SA,42,0,0,0
-Oyi4dDuax3yGa-Pnyf9jg,42,0,0,0
