raw_user_id,seed,uniform NDCG@20,past-only NDCG@20,diff
AE22B7BMXT7GAGY3XLHICMESNAPA,42,0,0,0
AE23LDQTB7L76AP6E6WPBFVYL5DA,42,0,0,0
AE23QDYAEPV46RWDWSYBXAPGB66Q,42,0,0,0
AE23WLBRYKEC67DM43M6E2MF7GPQ,42,0,0,0
AE24AP4G6YYZYCHGRN4DBSG3M3NQ,42,0,0,0
AE254DYU2ZV2P24NN2JO5FIRJMVQ,42,0,0,0
AE25T76Q63KWIMOYIWPPTALTOAFQ,42,0,0,0
AE25UCXIK3NBZRZ4KZ3GOQ6OVA7Q,42,0,0,0
AE26DSVKQBY4WPUMYTHK2ME2JODA,42,0,0,0
AE27PVJOEVGOHYF5WOXQDZ5NIULA,42,0,0.11284514,0.11284514
AE27UYZTY6ZFTTJICHX4AK3QNECA,42,0,0,0
AE2AHBOVJYT4SGOOV6YLX5M25DDA,42,0,0,0
AE2AII7ZOEPCPPFDPF33HPSNBAPQ,42,0.17198437,0.33627416,0.16428979
AE2BLUEZDXORKXM4T5XK74DE32CA,42,0,0,0
AE2CQKMYYKHTKFN6O4OCCFODCIAA,42,0,0,0
AE2CRDKCJ3HB2PIKJLJAL3GR5P6Q,42,0,0,0
AE2CRU35KZGLW2GP3MLKMOOYTF5Q,42,0,0,0
AE2DNY44JBJJJ6BKAMR3JBFBLSFQ,42,0,0,0
AE2EDDFSDV46BD7NKYH6YR36M7WQ,42,0,0,0
AE2EK3FZUFOOX2UCNK6H54IEAAPQ,42,0,0,0
AE2EKVLT6TSYOGHWDHFKP4A3U2SA,42,0,0,0
AE2F57PEU4SPZ5TVLXTF6TWMNUDA,42,0,0,0
AE2GTT4MSGPB4ZXI5N6JALZ3FORA,42,0,0,0
AE2HV4HN2THHJ4RMBTYC7APXJZ6Q,42,0,0,0
AE2I2KRNVKTC7GPT2PUWTOS35QCA,42,0,0,0
AE2IBW4VP32ED6RISV2B77LI2PDQ,42,0,0,0
AE2IFBZF5223CKSY3U44XPVIUJWQ,42,0,0,0
AE2IOGVBIDZ2N5EGKQNEECUBGGFQ,42,0,0,0
AE2JIAQCEEEDKCKTWO353TX64FWA,42,0,0,0
AE2JQOUQ763UGISWNQRKZTFQ4YUQ,42,0,0,0
AE2L423FWKYQXFRIKSCTDTO722ZA,42,0,0,0
AE2LSD4SGVRB7CVLMKTBNZ3KKFLQ,42,0,0,0
AE2MPNAGCKIA32EDDZDQUVKID3QQ,42,0,0,0
AE2NSTD4AIVHELHYSCMLAF6IVM7Q,42,0,0,0
AE2OIBMVSTOWKYJE6BWPIXGFHYWQ,42,0,0,0
AE2OU3FDXOGNHVIXGRKRHY6YTMMQ,42,0,0,0
AE2PAOJDT3P26OVWFCBP4SQI5DEQ,42,0,0,0
AE2PBTRUTQ2AHINFZYFSB5W7HK3Q,42,0,0,0
AE2PQYJYTERCVZ2A5D56DIEYNJMA,42,0,0,0
AE2Q7ZWH3ZC2H5OR3367SYR6T3ZQ,42,0,0,0
AE2QARWUPBR2BI5KXWECLDSTDVKA,42,0,0.21840744,0.21840744
AE2QESVYJ52OMV6PGRIAVRPQRQYA,42,0.051358492,0,-0.051358492
AE2RLTSZH3VQJ56DHRKPVD3PN3GA,42,0,0,0
AE2RTPYI65WWRFSDLEAPGK4XCF5A,42,0,0,0
AE2SGNQZ25KH74KX3RCGE4OABQWQ,42,0,0,0
AE2SP2D3WGUOGMD27UPKGA6WYVZA,42,0,0,0
AE2TGRWYF5FHU5TQIOPIQKRQB2RA,42,0,0,0
AE2U5BCHHRJRQ2XMSFOIGGUOE5GQ,42,0,0.13959537,0.13959537
AE2UAX6FKOATMA25QYWDPOB7YYAQ,42,0,0,0
AE2UKVOGANUPWOUY2DGA5NAZH5NA,42,0,0,0
AE2VN5SW5YQYP2WOQBTPZULNZPTQ,42,0,0,0
