model,dataset,arm,seed,knob,value,status,winner,val HR@20,val NDCG@20,val Recall@20,test HR@20,test NDCG@20,test Recall@20,train (s),wall (h),cfg.batch_size,cfg.k_embed_dim,cfg.lambda_reg,cfg.lambda_shared,cfg.learning_rate,cfg.mlp_hidden_count,cfg.n_epochs,cfg.num_factors,cfg.num_layers,cfg.num_neg
bpr,musical,uniform,42,baseline,,done,,0.0646,0.016,0.0311,0.048527408028508544,0.012403053260382671,0.02491447477219329,289.42234778404236,0.08333189758989545,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,42,k_embed_dim,32,done,,0.0609,0.0156,0.03,0.047164867414317156,0.012289712764991847,0.024874444703066816,277.4053237438202,0.07946914321846432,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,42,k_embed_dim,128,done,,0.0643,0.0161,0.0306,0.049470705376794884,0.012933740171406012,0.026618528708855522,335.8502402305603,0.09684029036098056,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,42,k_embed_dim,256,done,,0.0651,0.0162,0.0315,0.05439681375117912,0.013947871992681818,0.029697849904726327,632.2909963130951,0.17950376934475368,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,42,lambda_shared,1e-06,done,,0.06499706227967098,0.016209907542043822,0.03131525387504173,0.05397757048527408,0.01395030326184211,0.02933042976474566,645.5521597862244,0.18333768771754372,4096.0,256.0,,1e-06,0.05,,1000.0,,,
bpr,musical,uniform,42,lambda_shared,1e-05,done,,0.06485017626321975,0.016199346944288626,0.03128261253805257,0.05408238130175034,0.013942899922851078,0.029365366703571084,694.0866827964783,0.19836099723974865,4096.0,256.0,,1e-05,0.05,,1000.0,,,
bpr,musical,uniform,42,learning_rate,0.001,done,,0.0425,0.01,0.0182,0.03909443454564511,0.010630263140154446,0.01892997245737968,3202.929281949997,0.8943943215078778,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,musical,uniform,42,lambda_shared,0.001,done,yes,0.0651439482961222,0.016307780493331987,0.03146691340498842,0.053348705586416516,0.013312944093371708,0.029220034331532915,713.0019743442535,0.2032972079515457,4096.0,256.0,,0.001,0.05,,1000.0,,,
bpr,musical,uniform,42,learning_rate,0.01,done,,0.06565804935370152,0.016054847093321268,0.030787474524019823,0.051147678440415054,0.013444776297167432,0.025941443834021194,1839.8032348155975,0.5160738609234492,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,musical,uniform,42,lambda_shared,0.01,done,,0.0633813160987074,0.015687768573657196,0.03080552031678794,0.05397757048527408,0.013288837855575603,0.02811614369562258,673.1230056285858,0.19089322308699289,4096.0,256.0,,0.01,0.05,,1000.0,,,
bpr,musical,uniform,42,learning_rate,0.1,done,,0.0620593419506463,0.015460009572404674,0.02999443273534742,0.05009957027565245,0.01328129231840943,0.02722266125454679,385.9296905994415,0.11121303213967218,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,musical,uniform,2026,baseline,,done,,0.05882784958871915,0.014364950176684882,0.027823885583959294,0.05219578660517765,0.013122120929132544,0.02657849587365612,572.2617182731628,0.16386841124958462,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,2026,k_embed_dim,32,done,,0.060223266745005874,0.014847868636725466,0.029188080109443956,0.05167173252279635,0.012625295370542503,0.026779603154734058,495.26123547554016,0.14267998894055683,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,2026,k_embed_dim,128,done,,0.06573149236192714,0.016094850919020954,0.031219348820172178,0.05408238130175034,0.013775755102500023,0.028022457520674924,655.6868720054626,0.18773266110155318,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,2026,k_embed_dim,256,done,,0.0647032902467685,0.016557986003267657,0.031227332277327484,0.05355832721936904,0.013639432828933856,0.028571532873229992,837.7012364864349,0.23966645042101542,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,musical,uniform,2026,lambda_shared,1e-06,done,,0.06536427732079907,0.016635272315526042,0.031550035891580876,0.053767948852321557,0.013765178275458811,0.02863200065196629,863.8082904815674,0.2476456438170539,4096.0,256.0,,1e-06,0.05,,1000.0,,,
